dialerLeadId,Final_Output,Sales_Probability,Predictive_Sales_Probability,No_Sales_Probability
2344850,0,0.221034721,15.67581684,84.10314844
2614351,0,0.606430674,22.20050094,77.19306838
2693722,1,0.003355358,97.92382615,2.072818487
2E+12,1,0.003032245,99.86186976,0.135097992
3093148,1,0.016062183,91.69084752,8.293090295
3242733,1,0.034264532,85.67707679,14.28865868
3016229,0,0.023456938,19.29830017,80.67824289
2615337,0,0.228521912,26.02840871,73.74306937
2926464,1,0.011848635,91.0347888,8.953362567
2337638,1,0.002460564,98.50027098,1.497268458
2554595,0,0.157563209,6.536527155,93.30590964
3273881,1,0.011781854,94.58489116,5.403326991
2667348,0,0.15252512,8.43366967,91.41380521
3195850,0,0.130901486,6.198412817,93.6706857
2521274,1,0.008428236,98.23244632,1.759125445
1.80017E+12,1,0.002463988,99.88520211,0.112333902
3251105,0,0.135094994,22.99694531,76.86795969
2939846,1,0.006579308,97.55510384,2.438316849
1.80017E+12,1,0.002463988,99.88520211,0.112333902
3066816,0,0.227663497,27.64389577,72.12844074
3249246,1,0.003369118,98.06951887,1.927112009
2656082,0,0.117218358,5.375855281,94.50692636
2506524,0,0.217725955,15.51704133,84.26523271
2345569,0,0.524297916,21.90491234,77.57078974
2E+12,1,0.002210919,99.91189056,0.085898521
2974715,1,0.020777129,89.46914315,10.51007972
1.80017E+12,1,0.002210919,99.91189056,0.085898521
2684129,0,0.031052858,27.59602189,72.37292525
2966568,0,0.149668058,41.2080767,58.64225524
1.80017E+12,1,0.002210497,99.90559069,0.092198811
2318501,0,0.024958803,23.91573689,76.05930431
2330058,0,0.171855118,7.489470691,92.33867419
2930725,0,0.214853017,32.34737236,67.43777462
2537540,1,0.158943846,75.45406405,24.3869921
3401936,0,0.151706448,25.04615386,74.80213969
3308930,1,0.002015485,98.33590639,1.662078124
3394556,0,16.18212769,2.704440166,81.11343215
2349882,0,0.173101,8.073005615,91.75389339
2982308,1,0.007038581,75.88319629,24.10976513
2987316,2,67.51910933,5.072419049,27.40847162
2648635,1,0.003486158,97.93673542,2.059778425
